title,hotmajor,school_url,Timerank,QSrank,IELTS_grade
中央兰开夏大学,酒店，休闲，娱乐和旅游 建造学 一般工程 药物学和药剂 建筑学 农业与林业学,https://www.51offer.com/school/UCLAN.html,101,879,6.0~6.5
苏格兰皇家音乐学院,,https://www.51offer.com/school/RCS.html,,,1845
伦敦皇家音乐学院,,https://www.51offer.com/school/RCM.html,,,1882年
建筑联盟学院,,https://www.51offer.com/school/AA.html,,,1847
考陶德艺术学院,,https://www.51offer.com/school/Courtauld-Institute.html,,,16000-19450英镑/学年
圣乔治医学院,,https://www.51offer.com/school/St-George-s.html,,,13000英镑/学年
伦敦电影学院,,https://www.51offer.com/school/LFS.html,,,1965年
英博夏尔大学,,https://www.51offer.com/school/BPP.html,,,1976年
克兰菲尔德大学,,https://www.51offer.com/school/CU.html,,,1969
英国皇家北方音乐学院,,https://www.51offer.com/school/RNCM.html,,,1973年
新白金汉大学,材料技术 酒店，休闲，娱乐和旅游 社会工作 护理 艺术 计算机科学,https://www.51offer.com/school/Bucks-New.html,118,,9500-11800英镑/学年
威斯敏斯特大学,土地及物业管理 通信及传媒研究 中东和非洲研究 建造学 语言学 建筑学,https://www.51offer.com/school/Westminster.html,117,,5.5~7.0
圣玛丽大学学院,,https://www.51offer.com/school/St-Mary.html,116,,1850年
利兹贝克特大学,体育科学 城镇和农村的规划和设计 营养学 建造学 土木工程 酒店，休闲，娱乐和旅游,https://www.51offer.com/school/Leeds-Beckett.html,112,,1887
曼彻斯特建筑学院,,https://www.51offer.com/school/MSA.html,,,1996年
南威尔士大学,,https://www.51offer.com/school/Southwales.html,115,,2013年
瑞文斯博学院,,https://www.51offer.com/school/Ravensbourne.html,,,
坎特伯里基督大学,美国研究 教育 社会政策 影像学 酒店，休闲，娱乐和旅游 考古学,https://www.51offer.com/school/CCCU.html,114,,5790-13120英镑/学年
纽曼大学,神学和宗教研究 体育科学 教育 英语 戏剧和舞蹈 历史,https://www.51offer.com/school/Newman.html,112,,10500英镑/学年
